ONTOLOGY	TOTAL	% EXACT MATCH	% MISMATCH	% FUZZY MATCH	% FUZZY MISMATCH	% NA (out of mismatch)	TOTAL NO DUPLICATES	% NO DUPLICATES EXACT MATCH	% NO DUPLICATES MISMATCH	% NO DUPLICATES NA (out of mismatch)
CHEBI	82132	0.00	1.00	0.59	0.41	0.48	81992	0.00	1.00	0.48
CL	3983	0.97	0.03	0.98	0.02	0.04	3974	0.97	0.03	0.04
GO_BP	82287	0.19	0.81	0.51	0.49	0.00	82241	0.19	0.81	0.00
GO_CC	6424	0.96	0.04	0.97	0.03	0.02	6403	0.96	0.04	0.02
GO_MF	28686	0.52	0.48	0.73	0.27	0.01	28662	0.52	0.48	0.01
MOP	3336	0.95	0.05	0.97	0.03	0.18	3336	0.95	0.05	0.18
NCBITaxon	1116055	0.00	1.00	0.65	0.35	0.46	1111135	0.00	1.00	0.46
PR	640996	0.00	1.00	0.43	0.57	0.90	616833	0.00	1.00	0.93
SO	5414	0.98	0.02	0.99	0.01	0.00	4017	0.99	0.01	0.00
UBERON	35335	0.00	1.00	0.55	0.45	1.00	35220	0.00	1.00	1.00
