PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
15819996	0	['Nuclear localization of Annexin A7 during murine brain development\n\nAbstract\n\nBackground\n\nAnnexin A7 is a member of the annexin protein family, which is characterized by its ability to interact with phospholipids in the presence of Ca2+-ions and which is thought to function in Ca2+-homeostasis.']	(0, 295)	['CHEBI:16247', 'CHEBI:29108', 'CHEBI:29108', 'CHEBI:29108', 'CHEBI:29108', 'CHEBI:29108', 'GO:0007420', 'GO:0007420', 'GO:0042592', 'GO:0005634', 'NCBITaxon:39107', 'PR:000004080', 'PR:000004080', 'PR:000004080', 'PR:000004080', 'UBERON:0000955']
15819996	1	['Results from mutant mice showed altered Ca2+-wave propagation in astrocytes.']	(296, 372)	['CHEBI:29108', 'CHEBI:29108', 'CL:0000127', 'NCBITaxon:10088']
15819996	2	['As the appearance and distribution of Annexin A7 during brain development has not been investigated so far, we focused on the distribution of Annexin A7 protein during mouse embryogenesis in the developing central nervous system and in the adult mouse brain.']	(373, 631)	['GO:0007420', 'GO:0007420', 'GO:0009790', 'NCBITaxon:10088', 'NCBITaxon:10088', 'PR:000004080', 'PR:000004080', 'PR:000004080', 'PR:000004080', 'UBERON:0000955', 'UBERON:0001017', 'UBERON:0001017', 'UBERON:0001017', 'UBERON:0007023', 'UBERON:0000955']
15819996	3	['Results\n\nAnnexin A7 is expressed in cells of the developing brain where a change in its subcellular localization from cytoplasm to nucleus was observed.']	(633, 785)	['GO:0010467', 'GO:0005737', 'GO:0005634', 'PR:000004080', 'PR:000004080', 'UBERON:0000955']
15819996	4	['In the adult CNS, the subcellular distribution of Annexin A7 depends on the cell type.']	(786, 872)	['PR:000004080', 'PR:000004080', 'UBERON:0007023', 'UBERON:0001017']
15819996	5	['By immunohistochemistry analysis Annexin A7 was detected in the cytosol of undifferentiated cells at embryonic days E5–E8.']	(873, 995)	['GO:0005829', 'PR:000004080', 'PR:000004080', 'UBERON:0000922']
15819996	6	['At E11–E15 the protein is still present in the cytosol of cells predominantly located in the ventricular germinative zone surrounding the lateral ventricle.']	(996, 1152)	['GO:0005829', 'UBERON:0003053', 'UBERON:0003053', 'UBERON:0003053', 'UBERON:0002285', 'UBERON:0002285']
15819996	7	['Later on, at embryonic day E16, Annexin A7 in cells of the intermediate and marginal zone of the neopallium translocates to the nucleus.']	(1153, 1289)	['GO:0005634', 'PR:000004080', 'PR:000004080', 'UBERON:0000922', 'UBERON:0001950']
15819996	8	['Neuronal cells of all areas in the adult brain present Annexin A7 in the nucleus, whereas glial fibrillary acidic protein (GFAP)-positive astrocytes exhibit both, a cytoplasmic and nuclear staining.']	(1290, 1488)	['CHEBI:37527', 'CL:0000540', 'CL:0000540', 'CL:0000125', 'CL:0000127', 'GO:0005634', 'GO:0005737', 'GO:0005634', 'PR:000004080', 'PR:000004080', 'PR:000007939', 'PR:000007939', 'PR:000007939', 'PR:000007939', 'PR:000007939', 'UBERON:0007023', 'UBERON:0000955']
15819996	9	['The presence of nuclear Annexin A7 was confirmed by extraction of the nucleoplasm from isolated nuclei obtained from neuronal and astroglial cell lines.']	(1489, 1641)	['CL:0000540', 'CL:0000127', 'CL:0000127', 'CL:0000540', 'GO:0005634', 'GO:0005654', 'GO:0005634', 'PR:000004080', 'PR:000004080']
