#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	10.0130	7	1	92.9870	104	110	0.1732	0.8453	0.8941	0.8690
17029558	15.5782	4	14	50.4218	80	70	0.4197	0.7203	0.6303	0.6723
14691534	2.7054	6	2	21.2946	26	30	0.4117	0.7098	0.8190	0.7605
17503968	116.2984	34	2	30.7016	149	181	1.0221	0.1696	0.2061	0.1861
11604102	0.5625	1	0	23.4375	24	25	0.0651	0.9375	0.9766	0.9566
14675480	1.9725	0	0	25.0275	27	27	0.0731	0.9269	0.9269	0.9269
16517939	3.0127	7	1	13.9873	18	24	0.6118	0.5828	0.7771	0.6661
15615595	0.0000	0	0	5.0000	5	5	0.0000	1.0000	1.0000	1.0000
17465682	31.9020	37	0	32.0980	64	101	1.0766	0.3178	0.5015	0.3891
15328538	0.9138	4	0	8.0862	9	13	0.5460	0.6220	0.8985	0.7351
16027110	0.0000	0	0	5.0000	5	5	0.0000	1.0000	1.0000	1.0000
16968134	3.9245	4	1	34.0755	39	42	0.2288	0.8113	0.8737	0.8414
14624252	13.3472	0	165	62.6528	241	76	0.7400	0.8244	0.2600	0.3953
17206865	9.2757	7	5	40.7243	55	57	0.3868	0.7145	0.7404	0.7272
15018652	1.0556	7	0	52.9444	54	61	0.1492	0.8679	0.9805	0.9208
16611361	3.0830	1	0	16.9170	20	21	0.2042	0.8056	0.8458	0.8252
15784609	1.8996	2	3	41.1004	46	45	0.1500	0.9133	0.8935	0.9033
16800892	1.2200	2	0	10.7800	12	14	0.2683	0.7700	0.8983	0.8292
16410827	8.1934	15	5	134.8066	148	158	0.1905	0.8532	0.9109	0.8811
15238161	20.4540	30	11	125.5460	157	176	0.3914	0.7133	0.7997	0.7540
17201918	8.2018	14	5	45.7982	59	68	0.4610	0.6735	0.7762	0.7212
15070402	0.7843	0	0	1.2157	2	2	0.3921	0.6079	0.6079	0.6079
15850489	0.0000	0	0	9.0000	9	9	0.0000	1.0000	1.0000	1.0000
17565376	10.6725	18	13	60.3275	84	89	0.4961	0.6778	0.7182	0.6974
16026622	4.3342	1	17	30.6658	52	36	0.4295	0.8518	0.5897	0.6969
17677002	1.3236	0	0	11.6764	13	13	0.1018	0.8982	0.8982	0.8982
15560850	0.0000	1	0	5.0000	5	6	0.2000	0.8333	1.0000	0.9091
15619330	5.8183	0	4	35.1817	45	41	0.2182	0.8581	0.7818	0.8182
15882093	17.4972	11	0	160.5028	178	189	0.1601	0.8492	0.9017	0.8747
16787536	2.9091	3	2	14.0909	19	20	0.4163	0.7045	0.7416	0.7226
TOTAL	296.9526	216	251	1201.0474	1749	1714	0.4368	0.7007	0.6867	0.6936
