#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	1.7636	3	0	6.2364	8	11	0.5955	0.5669	0.7795	0.6565
11604102	0.0000	3	3	40.0000	43	43	0.1395	0.9302	0.9302	0.9302
14624252	0.0000	3	10	29.0000	39	32	0.3333	0.9063	0.7436	0.8169
14675480	0.0000	5	0	15.0000	15	20	0.3333	0.7500	1.0000	0.8571
14691534	1.7461	5	0	29.2539	31	36	0.2176	0.8126	0.9437	0.8733
15070402	19.6210	7	16	136.3790	172	163	0.2478	0.8367	0.7929	0.8142
15238161	3.3239	2	0	54.6761	58	60	0.0918	0.9113	0.9427	0.9267
15328538	0.0000	2	0	12.0000	12	14	0.1667	0.8571	1.0000	0.9231
15560850	1.0000	1	0	13.0000	14	15	0.1429	0.8667	0.9286	0.8966
15615595	0.0000	2	0	1.0000	1	3	2.0000	0.3333	1.0000	0.5000
15619330	3.1545	6	0	43.8455	47	53	0.1948	0.8273	0.9329	0.8769
15784609	0.0000	4	0	3.0000	3	7	1.3333	0.4286	1.0000	0.6000
15850489	2.5829	1	0	10.4171	13	14	0.2756	0.7441	0.8013	0.7716
15882093	0.0000	2	0	45.0000	45	47	0.0444	0.9574	1.0000	0.9783
16026622	3.1110	0	1	4.8890	9	8	0.4568	0.6111	0.5432	0.5752
16027110	8.8250	12	0	92.1750	101	113	0.2062	0.8157	0.9126	0.8614
16410827	0.0000	17	1	6.0000	7	23	2.5714	0.2609	0.8571	0.4000
16517939	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
16611361	0.0000	0	0	3.0000	3	3	0.0000	1.0000	1.0000	1.0000
16787536	10.1014	4	3	38.8986	52	53	0.3289	0.7339	0.7481	0.7409
16800892	0.0000	4	1	13.0000	14	17	0.3571	0.7647	0.9286	0.8387
16968134	7.3861	4	4	61.6139	73	73	0.2108	0.8440	0.8440	0.8440
17029558	1.4780	7	6	10.5220	18	19	0.8043	0.5538	0.5846	0.5688
17201918	9.9769	4	0	28.0231	38	42	0.3678	0.6672	0.7375	0.7006
17206865	34.5565	12	15	147.4435	197	194	0.3125	0.7600	0.7484	0.7542
17465682	1.3716	1	0	9.6284	11	12	0.2156	0.8024	0.8753	0.8373
17503968	4.0309	19	83	20.9691	108	44	0.9818	0.4766	0.1942	0.2759
17565376	2.4335	3	14	17.5665	34	23	0.5716	0.7638	0.5167	0.6164
17677002	0.0000	2	0	17.0000	17	19	0.1176	0.8947	1.0000	0.9444
TOTAL	116.4630	135	157	910.5370	1184	1162	0.3450	0.7836	0.7690	0.7762
