#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	1.6477	1	0	1.3523	3	4	0.8826	0.3381	0.4508	0.3864
11604102	7.9766	3	2	36.0234	46	47	0.2821	0.7665	0.7831	0.7747
14624252	65.2816	12	99	121.7184	286	199	0.6164	0.6117	0.4256	0.5019
14675480	15.4175	2	7	31.5825	54	49	0.4522	0.6445	0.5849	0.6133
14691534	22.0000	3	4	12.0000	38	37	0.7632	0.3243	0.3158	0.3200
15018652	6.0000	1	0	11.0000	17	18	0.4118	0.6111	0.6471	0.6286
15070402	2.5673	3	0	30.4327	33	36	0.1687	0.8454	0.9222	0.8821
15238161	0.9710	0	0	12.0290	13	13	0.0747	0.9253	0.9253	0.9253
15328538	45.2022	4	16	39.7978	101	89	0.6456	0.4472	0.3940	0.4189
15560850	4.5148	7	1	16.4852	22	28	0.5689	0.5888	0.7493	0.6594
15615595	0.0000	0	1	4.0000	5	4	0.2000	1.0000	0.8000	0.8889
15619330	0.0000	0	0	4.0000	4	4	0.0000	1.0000	1.0000	1.0000
15784609	4.0000	1	0	22.0000	26	27	0.1923	0.8148	0.8462	0.8302
15850489	8.4608	6	41	89.5392	139	104	0.3990	0.8610	0.6442	0.7369
15882093	4.2632	1	65	43.7368	113	49	0.6218	0.8926	0.3871	0.5400
16026622	23.1439	7	1	26.8561	51	57	0.6107	0.4712	0.5266	0.4973
16027110	12.2157	5	8	50.7843	71	68	0.3552	0.7468	0.7153	0.7307
16410827	6.6974	2	12	44.3026	63	53	0.3285	0.8359	0.7032	0.7638
16517939	20.2052	0	2	8.7948	31	29	0.7163	0.3033	0.2837	0.2932
16611361	17.0000	0	0	18.0000	35	35	0.4857	0.5143	0.5143	0.5143
16787536	6.6469	4	6	24.3531	37	35	0.4499	0.6958	0.6582	0.6765
16800892	23.2446	2	10	69.7554	103	95	0.3422	0.7343	0.6772	0.7046
16968134	4.4538	0	64	60.5462	129	65	0.5306	0.9315	0.4694	0.6242
17029558	3.9059	1	6	17.0941	27	22	0.4039	0.7770	0.6331	0.6977
17201918	16.2587	7	4	70.7413	91	94	0.2995	0.7526	0.7774	0.7648
17206865	2.7317	2	0	1.2683	4	6	1.1829	0.2114	0.3171	0.2537
17465682	10.5476	6	3	23.4524	37	40	0.5283	0.5863	0.6338	0.6092
17503968	45.8314	9	24	105.1686	175	160	0.4505	0.6573	0.6010	0.6279
17565376	4.0000	5	2	24.0000	30	33	0.3667	0.7273	0.8000	0.7619
17677002	7.4026	2	0	30.5974	38	40	0.2474	0.7649	0.8052	0.7845
TOTAL	392.5880	96	378	1051.4120	1822	1540	0.4756	0.6827	0.5771	0.6255
