#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	5.3673	12	1	9.6327	16	27	1.1480	0.3568	0.6020	0.4480
11604102	63.9643	4	36	84.0357	184	152	0.5650	0.5529	0.4567	0.5002
14624252	29.2455	149	15	51.7545	96	230	2.0130	0.2250	0.5391	0.3175
14675480	129.6173	8	12	195.3827	337	333	0.4440	0.5867	0.5798	0.5832
14691534	215.8256	14	17	236.1744	469	466	0.5263	0.5068	0.5036	0.5052
15018652	25.7630	3	50	46.2370	122	75	0.6456	0.6165	0.3790	0.4694
15070402	107.9438	41	32	202.0562	342	351	0.5291	0.5757	0.5908	0.5831
15238161	24.9516	62	13	219.0484	257	306	0.3889	0.7158	0.8523	0.7781
15328538	55.0474	9	17	93.9526	166	158	0.4882	0.5946	0.5660	0.5800
15560850	60.4860	10	28	109.5140	198	180	0.4974	0.6084	0.5531	0.5794
15615595	11.4077	2	1	92.5923	105	106	0.1372	0.8735	0.8818	0.8777
15619330	20.4417	6	0	56.5583	77	83	0.3434	0.6814	0.7345	0.7070
15784609	25.6193	5	4	43.3807	73	74	0.4742	0.5862	0.5943	0.5902
15850489	46.9256	23	30	71.0744	148	141	0.6752	0.5041	0.4802	0.4919
15882093	191.9403	25	8	299.0597	499	516	0.4508	0.5796	0.5993	0.5893
16026622	30.6949	21	11	34.3051	76	86	0.8249	0.3989	0.4514	0.4235
16027110	53.6398	163	79	74.3602	207	291	1.4282	0.2555	0.3592	0.2986
16410827	158.8354	12	14	205.1646	378	376	0.4890	0.5457	0.5428	0.5442
16517939	86.5446	17	12	85.4554	184	189	0.6280	0.4521	0.4644	0.4582
16611361	69.5414	20	9	78.4586	157	168	0.6277	0.4670	0.4997	0.4828
16787536	67.6404	11	34	110.3596	212	189	0.5313	0.5839	0.5206	0.5504
16800892	10.6916	16	16	34.3084	61	61	0.6999	0.5624	0.5624	0.5624
16968134	269.9388	63	16	313.0612	599	646	0.5825	0.4846	0.5226	0.5029
17029558	49.9304	108	3	61.0696	114	219	1.4117	0.2789	0.5357	0.3668
17201918	169.6535	123	12	205.3465	387	498	0.7872	0.4123	0.5306	0.4641
17206865	96.8357	52	4	131.1643	232	280	0.6588	0.4684	0.5654	0.5124
17465682	30.8384	141	10	148.1616	189	320	0.9621	0.4630	0.7839	0.5822
17503968	5.0970	17	3	47.9030	56	70	0.4482	0.6843	0.8554	0.7604
17565376	140.1479	12	22	123.8521	286	276	0.6089	0.4487	0.4330	0.4408
17677002	69.0915	11	14	98.9085	182	179	0.5170	0.5526	0.5435	0.5480
TOTAL	2323.6677	1160	523	3562.3323	6409	7046	0.6252	0.5056	0.5558	0.5295
