#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	6.8761	12	0	11.1239	18	30	1.0487	0.3708	0.6180	0.4635
17029558	53.3630	106	5	75.6370	134	235	1.2266	0.3219	0.5645	0.4100
14691534	305.7914	28	23	158.2086	487	492	0.7326	0.3216	0.3249	0.3232
17503968	4.9139	18	1	223.0861	229	246	0.1044	0.9069	0.9742	0.9393
11604102	89.1170	4	24	110.8830	224	204	0.5228	0.5435	0.4950	0.5181
14675480	129.0542	13	13	231.9458	374	374	0.4146	0.6202	0.6202	0.6202
16517939	83.5102	32	23	112.4898	219	228	0.6325	0.4934	0.5137	0.5033
15615595	7.0192	2	1	98.9808	107	108	0.0936	0.9165	0.9251	0.9208
17465682	42.9033	190	8	182.0967	233	415	1.0339	0.4388	0.7815	0.5620
15328538	64.2806	23	20	110.7194	195	198	0.5502	0.5592	0.5678	0.5635
16027110	98.8436	164	53	216.1564	368	479	0.8583	0.4513	0.5874	0.5104
16968134	305.3457	13	15	368.6543	689	687	0.4838	0.5366	0.5351	0.5358
14624252	158.9690	52	10	87.0310	256	298	0.8632	0.2921	0.3400	0.3142
17206865	106.9178	51	5	164.0822	276	322	0.5903	0.5096	0.5945	0.5488
15018652	56.2136	4	3	74.7864	134	135	0.4717	0.5540	0.5581	0.5560
16611361	60.0640	26	10	91.9360	162	178	0.5930	0.5165	0.5675	0.5408
15784609	25.4977	4	0	60.5023	86	90	0.3430	0.6722	0.7035	0.6875
16800892	18.9113	17	18	36.0887	73	72	0.7385	0.5012	0.4944	0.4978
16410827	143.5635	14	17	266.4365	427	424	0.4088	0.6284	0.6240	0.6262
15238161	25.6208	160	13	360.3792	399	546	0.4978	0.6600	0.9032	0.7627
17201918	274.7320	48	7	231.2680	513	554	0.6428	0.4175	0.4508	0.4335
15070402	106.9585	42	32	280.0415	419	429	0.4319	0.6528	0.6684	0.6605
15850489	45.4032	40	32	78.5968	156	164	0.7526	0.4792	0.5038	0.4912
17565376	99.9295	16	13	181.0705	294	297	0.4385	0.6097	0.6159	0.6128
16026622	26.5169	19	9	129.4831	165	175	0.3304	0.7399	0.7847	0.7617
17677002	75.7533	44	12	115.2467	203	235	0.6490	0.4904	0.5677	0.5262
15560850	65.1787	4	9	153.8213	228	223	0.3429	0.6898	0.6747	0.6821
15619330	24.9560	5	0	76.0440	101	106	0.2966	0.7174	0.7529	0.7347
15882093	199.6260	15	3	329.3740	532	544	0.4091	0.6055	0.6191	0.6122
16787536	65.9078	25	8	157.0922	231	248	0.4282	0.6334	0.6801	0.6559
TOTAL	2771.7379	1191	387	4773.2621	7932	8736	0.5484	0.5464	0.6018	0.5727
