#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	1.5564	0	0	75.4436	77	77	0.0202	0.9798	0.9798	0.9798
17029558	2.8460	1	1	64.1540	68	68	0.0713	0.9434	0.9434	0.9434
14691534	18.0977	2	4	115.9023	138	136	0.1746	0.8522	0.8399	0.8460
17503968	0.0000	0	0	4.0000	4	4	0.0000	1.0000	1.0000	1.0000
11604102	4.6914	6	4	112.3086	121	123	0.1214	0.9131	0.9282	0.9206
14675480	6.4123	1	2	61.5877	70	69	0.1345	0.8926	0.8798	0.8862
16517939	7.9947	9	17	243.0053	268	260	0.1268	0.9346	0.9067	0.9205
15615595	0.0000	1	1	28.0000	29	29	0.0690	0.9655	0.9655	0.9655
17465682	0.0000	0	0	61.0000	61	61	0.0000	1.0000	1.0000	1.0000
15328538	0.0000	0	0	55.0000	55	55	0.0000	1.0000	1.0000	1.0000
16027110	6.4748	9	3	144.5252	154	160	0.1200	0.9033	0.9385	0.9205
16968134	1.2853	0	1	62.7147	65	64	0.0352	0.9799	0.9648	0.9723
14624252	0.5080	3	0	109.4920	110	113	0.0319	0.9690	0.9954	0.9820
17206865	4.3554	2	2	149.6446	156	156	0.0536	0.9593	0.9593	0.9593
15018652	2.7399	1	2	69.2601	74	73	0.0776	0.9488	0.9359	0.9423
16611361	44.4844	17	11	141.5156	197	203	0.3679	0.6971	0.7184	0.7076
15784609	2.9106	1	5	142.0894	150	146	0.0594	0.9732	0.9473	0.9601
16800892	11.5154	14	79	368.4846	459	394	0.2277	0.9352	0.8028	0.8640
16410827	20.0162	33	1	155.9838	177	209	0.3052	0.7463	0.8813	0.8082
15238161	0.0000	0	0	18.0000	18	18	0.0000	1.0000	1.0000	1.0000
17201918	1.9977	0	4	33.0023	39	35	0.1538	0.9429	0.8462	0.8920
15070402	2.0555	1	3	94.9445	100	98	0.0606	0.9688	0.9494	0.9590
15850489	1.8307	1	34	113.1693	149	116	0.2472	0.9756	0.7595	0.8541
17565376	2.0234	3	2	34.9766	39	40	0.1801	0.8744	0.8968	0.8855
16026622	2.5952	1	13	142.4048	158	146	0.1050	0.9754	0.9013	0.9369
17677002	9.8961	4	3	166.1039	179	180	0.0944	0.9228	0.9280	0.9254
15560850	0.7834	8	0	36.2166	37	45	0.2374	0.8048	0.9788	0.8833
15619330	1.0833	0	2	27.9167	31	29	0.0995	0.9626	0.9005	0.9306
15882093	1.3571	2	1	116.6429	119	120	0.0366	0.9720	0.9802	0.9761
16787536	7.2340	7	1	135.7660	144	150	0.1058	0.9051	0.9428	0.9236
TOTAL	166.7447	127	196	3083.2553	3446	3377	0.1421	0.9130	0.8947	0.9038
