#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	28.3692	9	0	112.6308	141	150	0.2650	0.7509	0.7988	0.7741
11604102	16.2179	15	6	261.7821	284	293	0.1310	0.8935	0.9218	0.9074
14624252	75.5636	8	35	281.4364	392	365	0.3025	0.7711	0.7180	0.7436
14675480	121.6572	3	115	178.3428	415	303	0.5775	0.5886	0.4297	0.4968
14691534	126.1601	3	53	335.8399	515	465	0.3537	0.7222	0.6521	0.6854
15018652	20.3588	4	8	113.6412	142	138	0.2279	0.8235	0.8003	0.8117
15070402	21.8957	2	4	201.1043	227	225	0.1229	0.8938	0.8859	0.8898
15238161	18.0000	4	11	50.0000	79	72	0.4177	0.6944	0.6329	0.6623
15328538	6.0000	7	7	185.0000	198	198	0.1010	0.9343	0.9343	0.9343
15560850	19.1732	2	19	88.8268	127	110	0.3163	0.8075	0.6994	0.7496
15615595	56.3889	3	54	75.6111	186	135	0.6096	0.5601	0.4065	0.4711
15619330	30.8889	2	3	143.1111	177	176	0.2028	0.8131	0.8085	0.8108
15784609	53.7675	5	49	251.2325	354	310	0.3044	0.8104	0.7097	0.7567
15850489	22.0264	4	42	246.9736	311	273	0.2187	0.9047	0.7941	0.8458
15882093	84.4863	6	16	268.5137	369	359	0.2886	0.7479	0.7277	0.7377
16026622	13.9236	7	6	213.0764	233	234	0.1156	0.9106	0.9145	0.9125
16027110	50.2366	14	10	389.7634	450	454	0.1650	0.8585	0.8661	0.8623
16410827	82.2138	28	8	256.7862	347	367	0.3407	0.6997	0.7400	0.7193
16517939	36.9586	9	18	388.0414	443	434	0.1444	0.8941	0.8759	0.8849
16611361	74.5247	18	28	247.4753	350	340	0.3444	0.7279	0.7071	0.7173
16787536	48.7823	8	10	317.2177	376	374	0.1776	0.8482	0.8437	0.8459
16800892	68.8915	21	42	734.1085	845	824	0.1561	0.8909	0.8688	0.8797
16968134	99.7853	2	81	236.2147	417	338	0.4383	0.6989	0.5665	0.6257
17029558	95.3602	2	28	233.6398	357	331	0.3511	0.7059	0.6545	0.6792
17201918	38.4212	5	18	137.5788	194	181	0.3166	0.7601	0.7092	0.7338
17206865	55.5090	9	3	321.4910	380	386	0.1777	0.8329	0.8460	0.8394
17465682	14.3333	2	15	144.6667	174	161	0.1801	0.8986	0.8314	0.8637
17503968	6.0000	1	4	16.0000	26	23	0.4231	0.6957	0.6154	0.6531
17565376	2.1008	7	7	121.8992	131	131	0.1229	0.9305	0.9305	0.9305
17677002	71.7024	11	18	406.2976	496	489	0.2030	0.8309	0.8191	0.8250
TOTAL	1459.6970	221	718	6958.3030	9136	8639	0.2626	0.8055	0.7616	0.7829
