#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	5.7776	17	4	28.2224	38	51	0.7047	0.5534	0.7427	0.6342
17029558	16.5818	69	11	52.4182	80	138	1.2073	0.3798	0.6552	0.4809
14691534	11.4200	75	15	55.5800	82	142	1.2368	0.3914	0.6778	0.4963
17503968	22.6406	55	144	49.3594	216	127	1.0261	0.3887	0.2285	0.2878
11604102	10.3600	6	6	53.6400	70	70	0.3194	0.7663	0.7663	0.7663
14675480	17.3159	10	58	100.6841	176	128	0.4847	0.7866	0.5721	0.6624
16517939	11.5897	21	7	63.4103	82	96	0.4828	0.6605	0.7733	0.7125
15615595	11.4947	30	10	26.5053	48	68	1.0728	0.3898	0.5522	0.4570
17465682	17.1428	63	34	100.8572	152	181	0.7509	0.5572	0.6635	0.6057
15328538	24.8145	23	20	52.1855	97	100	0.6991	0.5219	0.5380	0.5298
16027110	18.3869	13	21	62.6131	102	94	0.5136	0.6661	0.6139	0.6389
16968134	31.0244	72	15	142.9756	189	246	0.6245	0.5812	0.7565	0.6574
14624252	13.4000	24	48	47.6000	109	85	0.7835	0.5600	0.4367	0.4907
17206865	19.1299	51	53	107.8701	180	178	0.6841	0.6060	0.5993	0.6026
15018652	8.0952	10	10	39.9048	58	58	0.4844	0.6880	0.6880	0.6880
16611361	3.2008	4	7	32.7992	43	40	0.3303	0.8200	0.7628	0.7903
15784609	10.9499	31	9	70.0501	90	112	0.5661	0.6254	0.7783	0.6936
16800892	11.2757	32	28	144.7243	184	188	0.3874	0.7698	0.7865	0.7781
16410827	27.4706	48	44	134.5294	206	210	0.5800	0.6406	0.6531	0.6468
15238161	8.5328	85	39	117.4672	165	211	0.8032	0.5567	0.7119	0.6248
17201918	63.8442	72	80	162.1558	306	298	0.7054	0.5441	0.5299	0.5369
15070402	16.7877	18	21	128.2123	166	163	0.3361	0.7866	0.7724	0.7794
15850489	4.3495	20	7	49.6505	61	74	0.5139	0.6710	0.8139	0.7356
17565376	10.9212	55	21	50.0788	82	116	1.0600	0.4317	0.6107	0.5058
16026622	11.0417	30	34	26.9583	72	68	1.0422	0.3964	0.3744	0.3851
17677002	8.3454	33	19	69.6546	97	111	0.6221	0.6275	0.7181	0.6698
15560850	10.6973	11	3	43.3027	57	65	0.4333	0.6662	0.7597	0.7099
15619330	17.9594	21	21	81.0406	120	120	0.4997	0.6753	0.6753	0.6753
15882093	44.2110	55	22	202.7890	269	302	0.4506	0.6715	0.7539	0.7103
16787536	10.7722	40	17	56.2278	84	107	0.8068	0.5255	0.6694	0.5888
TOTAL	499.5333	1094	828	2353.4667	3681	3947	0.6578	0.5963	0.6394	0.6171
