#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.5897	7	13	2.4103	16	10	1.2869	0.2410	0.1506	0.1854
17029558	10.2688	19	88	15.7312	114	45	1.0287	0.3496	0.1380	0.1979
14691534	17.2090	12	423	28.7910	469	58	0.9642	0.4964	0.0614	0.1093
17503968	2.1827	15	7	46.8173	56	64	0.4318	0.7315	0.8360	0.7803
11604102	3.6468	3	176	4.3532	184	11	0.9926	0.3957	0.0237	0.0446
14675480	12.1817	22	316	8.8183	337	43	1.0391	0.2051	0.0262	0.0464
16517939	20.3348	4	144	19.6652	184	44	0.9149	0.4469	0.1069	0.1725
15615595	4.8014	2	16	84.1986	105	91	0.2172	0.9253	0.8019	0.8592
17465682	13.3279	13	70	105.6721	189	132	0.5097	0.8005	0.5591	0.6584
15328538	53.7846	29	37	75.2154	166	158	0.7216	0.4760	0.4531	0.4643
16027110	5.2099	7	195	6.7901	207	19	1.0010	0.3574	0.0328	0.0601
16968134	250.4679	13	181	167.5321	599	431	0.7420	0.3887	0.2797	0.3253
14624252	16.3445	19	59	20.6555	96	56	0.9828	0.3688	0.2152	0.2718
17206865	4.8385	9	201	26.1615	232	40	0.9260	0.6540	0.1128	0.1924
15018652	0.7361	1	118	3.2639	122	5	0.9814	0.6528	0.0268	0.0514
16611361	3.5693	4	149	4.4307	157	12	0.9973	0.3692	0.0282	0.0524
15784609	4.5655	2	57	11.4345	73	18	0.8708	0.6353	0.1566	0.2513
16800892	0.6690	19	45	15.3310	61	35	1.0601	0.4380	0.2513	0.3194
16410827	37.3333	12	280	60.6667	378	110	0.8713	0.5515	0.1605	0.2486
15238161	5.3426	27	71	180.6574	257	213	0.4021	0.8482	0.7029	0.7688
17201918	32.5276	78	316	38.4724	387	149	1.1021	0.2582	0.0994	0.1436
15070402	15.8032	13	282	44.1968	342	73	0.9088	0.6054	0.1292	0.2130
15850489	13.5044	14	120	14.4956	148	42	0.9967	0.3451	0.0979	0.1526
17565376	40.1333	14	212	33.8667	286	88	0.9305	0.3848	0.1184	0.1811
16026622	18.1000	12	42	15.9000	76	46	0.9487	0.3457	0.2092	0.2607
17677002	2.1475	7	170	9.8525	182	19	0.9843	0.5186	0.0541	0.0980
15560850	21.8619	6	147	29.1381	198	57	0.8831	0.5112	0.1472	0.2285
15619330	4.0352	5	54	18.9648	77	28	0.8186	0.6773	0.2463	0.3612
15882093	21.9014	7	410	67.0986	499	96	0.8796	0.6989	0.1345	0.2255
16787536	13.6257	14	182	16.3743	212	44	0.9888	0.3721	0.0772	0.1279
TOTAL	651.0440	409	4581	1176.9560	6409	2237	0.8802	0.5261	0.1836	0.2723
