#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	12.9943	13	24	189.0057	226	215	0.2212	0.8791	0.8363	0.8572
11604102	1.0000	5	0	58.0000	59	64	0.1017	0.9063	0.9831	0.9431
14624252	16.3840	18	12	189.6160	218	224	0.2128	0.8465	0.8698	0.8580
14675480	59.5524	40	48	451.4476	559	551	0.2640	0.8193	0.8076	0.8134
14691534	15.1578	29	46	144.8422	206	189	0.4377	0.7664	0.7031	0.7334
15018652	5.4886	6	13	55.5114	74	67	0.3309	0.8285	0.7502	0.7874
15070402	33.8626	24	31	89.1374	154	147	0.5770	0.6064	0.5788	0.5923
15238161	34.6801	49	61	242.3199	338	326	0.4280	0.7433	0.7169	0.7299
15328538	9.9830	11	4	90.0170	104	111	0.2402	0.8110	0.8655	0.8374
15560850	0.0000	1	0	45.0000	45	46	0.0222	0.9783	1.0000	0.9890
15615595	68.1449	33	107	430.8551	606	532	0.3435	0.8099	0.7110	0.7572
15619330	19.9678	11	12	147.0322	179	178	0.2400	0.8260	0.8214	0.8237
15784609	23.8152	15	20	158.1848	202	197	0.2912	0.8030	0.7831	0.7929
15850489	10.4774	8	3	54.5226	68	73	0.3158	0.7469	0.8018	0.7734
15882093	33.3178	32	301	155.6822	490	221	0.7476	0.7044	0.3177	0.4379
16026622	0.9765	9	1	50.0235	52	60	0.2111	0.8337	0.9620	0.8933
16027110	6.6625	5	0	38.3375	45	50	0.2592	0.7668	0.8519	0.8071
16410827	93.6742	185	30	274.3258	398	553	0.7756	0.4961	0.6893	0.5769
16517939	5.7677	8	10	51.2323	67	65	0.3547	0.7882	0.7647	0.7762
16611361	3.9183	8	2	63.0817	69	75	0.2017	0.8411	0.9142	0.8761
16787536	37.5007	15	97	266.4993	401	319	0.3728	0.8354	0.6646	0.7403
16800892	12.5997	9	12	112.4003	137	134	0.2453	0.8388	0.8204	0.8295
16968134	86.7782	43	38	195.2218	320	325	0.5243	0.6007	0.6101	0.6053
17029558	53.6727	38	71	123.3273	248	215	0.6559	0.5736	0.4973	0.5327
17201918	48.7586	37	110	161.2414	320	247	0.6117	0.6528	0.5039	0.5688
17206865	24.2534	32	17	127.7466	169	184	0.4335	0.6943	0.7559	0.7238
17465682	62.1733	89	67	162.8267	292	314	0.7472	0.5186	0.5576	0.5374
17503968	1.7445	3	78	16.2555	96	21	0.8619	0.7741	0.1693	0.2779
17565376	22.7251	22	186	74.2749	283	119	0.8153	0.6242	0.2625	0.3695
17677002	11.3821	17	21	93.6179	126	122	0.3919	0.7674	0.7430	0.7550
TOTAL	817.4134	815	1422	4311.5866	6551	5944	0.4663	0.7254	0.6582	0.6901
