#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	2.4478	0	8	27.5522	38	30	0.2749	0.9184	0.7251	0.8104
17029558	10.8884	3	15	54.1116	80	68	0.3611	0.7958	0.6764	0.7312
14691534	7.6211	4	12	62.3789	82	74	0.2881	0.8430	0.7607	0.7997
17503968	11.2964	3	134	70.7036	216	85	0.6866	0.8318	0.3273	0.4698
11604102	7.1884	2	9	53.8116	70	63	0.2598	0.8542	0.7687	0.8092
14675480	11.1770	1	53	111.8230	176	124	0.3703	0.9018	0.6354	0.7455
16517939	8.8970	2	6	67.1030	82	78	0.2061	0.8603	0.8183	0.8388
15615595	5.9798	2	7	35.0202	48	43	0.3121	0.8144	0.7296	0.7697
17465682	10.0597	8	28	113.9403	152	132	0.3030	0.8632	0.7496	0.8024
15328538	14.5744	4	19	63.4256	97	82	0.3874	0.7735	0.6539	0.7087
16027110	22.1162	10	7	72.8838	102	105	0.3835	0.6941	0.7145	0.7042
16968134	15.3408	7	17	156.6592	189	179	0.2082	0.8752	0.8289	0.8514
14624252	6.3478	1	55	47.6522	109	55	0.5720	0.8664	0.4372	0.5811
17206865	11.2310	12	48	120.7690	180	144	0.3957	0.8387	0.6709	0.7455
15018652	7.6977	1	12	38.3023	58	47	0.3569	0.8149	0.6604	0.7296
16611361	2.2433	2	5	35.7567	43	40	0.2150	0.8939	0.8316	0.8616
15784609	4.9557	5	9	76.0443	90	86	0.2106	0.8842	0.8449	0.8641
16800892	4.3492	2	30	149.6508	184	156	0.1976	0.9593	0.8133	0.8803
16410827	39.4628	8	35	131.5372	206	179	0.4003	0.7348	0.6385	0.6833
15238161	4.5625	13	43	117.4375	165	135	0.3670	0.8699	0.7117	0.7829
17201918	58.8214	17	81	166.1786	306	242	0.5125	0.6867	0.5431	0.6065
15070402	16.6069	9	14	135.3931	166	161	0.2386	0.8410	0.8156	0.8281
15850489	3.3543	2	13	44.6457	61	50	0.3009	0.8929	0.7319	0.8044
17565376	5.4112	8	22	54.5888	82	68	0.4318	0.8028	0.6657	0.7279
16026622	0.0000	8	41	31.0000	72	39	0.6806	0.7949	0.4306	0.5586
17677002	5.0450	5	10	81.9550	97	92	0.2066	0.8908	0.8449	0.8672
15560850	7.0906	3	5	44.9094	57	55	0.2647	0.8165	0.7879	0.8020
15619330	16.1419	6	26	77.8581	120	100	0.4012	0.7786	0.6488	0.7078
15882093	27.8837	7	35	206.1163	269	241	0.2598	0.8553	0.7662	0.8083
16787536	9.2931	4	13	61.7069	84	75	0.3130	0.8228	0.7346	0.7762
TOTAL	358.0855	159	812	2510.9145	3681	3028	0.3611	0.8292	0.6821	0.7485
