#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	4.7423	0	7	6.2577	18	11	0.6523	0.5689	0.3477	0.4316
11604102	45.4302	7	75	103.5698	224	156	0.5689	0.6639	0.4624	0.5451
14624252	87.8613	19	116	52.1387	256	159	0.8706	0.3279	0.2037	0.2513
14675480	99.6973	0	126	148.3027	374	248	0.6035	0.5980	0.3965	0.4769
14691534	58.4179	8	364	64.5821	487	131	0.8838	0.4930	0.1326	0.2090
15018652	37.2800	0	47	49.7200	134	87	0.6290	0.5715	0.3710	0.4500
15070402	48.8351	11	205	165.1649	419	225	0.6321	0.7341	0.3942	0.5129
15238161	22.1532	18	167	209.8468	399	250	0.5192	0.8394	0.5259	0.6467
15328538	55.9646	5	57	82.0354	195	143	0.6049	0.5737	0.4207	0.4854
15560850	24.9023	1	156	47.0977	228	73	0.7978	0.6452	0.2066	0.3129
15615595	9.7794	3	8	89.2206	107	102	0.1942	0.8747	0.8338	0.8538
15619330	1.6031	1	64	35.3969	101	38	0.6594	0.9315	0.3505	0.5093
15784609	34.0734	3	5	46.9266	86	84	0.4892	0.5586	0.5457	0.5521
15850489	8.5346	9	132	15.4654	156	33	0.9586	0.4686	0.0991	0.1637
15882093	121.8451	10	196	214.1549	532	346	0.6163	0.6189	0.4025	0.4878
16026622	24.4582	14	40	100.5418	165	139	0.4755	0.7233	0.6093	0.6615
16027110	33.1619	23	183	151.8381	368	208	0.6499	0.7300	0.4126	0.5272
16410827	147.9523	13	101	178.0477	427	339	0.6135	0.5252	0.4170	0.4649
16517939	44.3756	16	101	73.6244	219	134	0.7369	0.5494	0.3362	0.4171
16611361	40.8775	8	81	40.1225	162	89	0.8017	0.4508	0.2477	0.3197
16787536	45.9509	4	111	74.0491	231	124	0.6968	0.5972	0.3206	0.4172
16800892	14.7759	68	31	27.2241	73	110	1.5586	0.2475	0.3729	0.2975
16968134	250.4861	18	201	237.5139	689	506	0.6814	0.4694	0.3447	0.3975
17029558	31.6361	66	54	48.3639	134	146	1.1316	0.3313	0.3609	0.3455
17201918	180.2149	22	213	119.7851	513	322	0.8094	0.3720	0.2335	0.2869
17206865	32.4549	24	147	96.5451	276	153	0.7372	0.6310	0.3498	0.4501
17465682	34.5525	56	67	131.4475	233	222	0.6762	0.5921	0.5642	0.5778
17503968	4.3341	20	175	49.6659	229	74	0.8705	0.6712	0.2169	0.3278
17565376	49.7147	21	140	104.2853	294	175	0.7167	0.5959	0.3547	0.4447
17677002	38.6474	6	98	66.3526	203	111	0.7027	0.5978	0.3269	0.4226
TOTAL	1634.7129	474	3468	2829.2871	7932	4938	0.7031	0.5730	0.3567	0.4397
