#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	1.5564	1	0	75.4436	77	78	0.0332	0.9672	0.9798	0.9735
17029558	1.8579	0	4	62.1421	68	64	0.0861	0.9710	0.9139	0.9415
14691534	22.4791	0	5	110.5209	138	133	0.1991	0.8310	0.8009	0.8157
17503968	0.0000	0	0	4.0000	4	4	0.0000	1.0000	1.0000	1.0000
11604102	2.9707	2	10	108.0293	121	113	0.1237	0.9560	0.8928	0.9233
14675480	8.1939	2	3	58.8061	70	69	0.1885	0.8523	0.8401	0.8461
16517939	12.1174	4	31	224.8826	268	241	0.1758	0.9331	0.8391	0.8836
15615595	0.0000	0	1	28.0000	29	28	0.0345	1.0000	0.9655	0.9825
17465682	0.0000	0	1	60.0000	61	60	0.0164	1.0000	0.9836	0.9917
15328538	0.0000	1	12	43.0000	55	44	0.2364	0.9773	0.7818	0.8687
16027110	2.5271	0	12	139.4729	154	142	0.0943	0.9822	0.9057	0.9424
16968134	2.2518	1	1	61.7482	65	65	0.0654	0.9500	0.9500	0.9500
14624252	0.2000	2	0	109.8000	110	112	0.0200	0.9804	0.9982	0.9892
17206865	4.0526	3	5	146.9474	156	154	0.0773	0.9542	0.9420	0.9480
15018652	2.8193	0	2	69.1807	74	72	0.0651	0.9608	0.9349	0.9477
16611361	43.9517	1	22	131.0483	197	176	0.3399	0.7446	0.6652	0.7027
15784609	1.3649	0	5	143.6351	150	145	0.0424	0.9906	0.9576	0.9738
16800892	7.5032	5	102	349.4968	459	362	0.2495	0.9655	0.7614	0.8514
16410827	17.3164	31	12	147.6836	177	196	0.3408	0.7535	0.8344	0.7919
15238161	0.0000	2	0	18.0000	18	20	0.1111	0.9000	1.0000	0.9474
17201918	2.3823	0	5	31.6177	39	34	0.1893	0.9299	0.8107	0.8662
15070402	3.4320	0	7	89.5680	100	93	0.1043	0.9631	0.8957	0.9282
15850489	0.9225	1	36	112.0775	149	114	0.2545	0.9831	0.7522	0.8523
17565376	0.4737	0	3	35.5263	39	36	0.0891	0.9868	0.9109	0.9474
16026622	1.7891	0	11	145.2109	158	147	0.0809	0.9878	0.9191	0.9522
17677002	5.8651	1	5	168.1349	179	175	0.0663	0.9608	0.9393	0.9499
15560850	0.0000	2	0	37.0000	37	39	0.0541	0.9487	1.0000	0.9737
15619330	0.0000	0	3	28.0000	31	28	0.0968	1.0000	0.9032	0.9492
15882093	0.6429	3	4	114.3571	119	118	0.0642	0.9691	0.9610	0.9650
16787536	7.1487	1	2	134.8513	144	143	0.0705	0.9430	0.9365	0.9397
TOTAL	153.8187	63	304	2988.1813	3446	3205	0.1511	0.9323	0.8671	0.8986
