#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	29.6384	6	1	110.3616	141	146	0.2598	0.7559	0.7827	0.7691
11604102	13.6289	4	11	259.3711	284	277	0.1008	0.9364	0.9133	0.9247
14624252	76.2080	9	42	273.7920	392	359	0.3245	0.7627	0.6984	0.7291
14675480	123.7987	12	117	174.2013	415	310	0.6092	0.5619	0.4198	0.4806
14691534	120.5634	6	64	330.4366	515	457	0.3700	0.7231	0.6416	0.6799
15018652	20.0567	1	7	114.9433	142	136	0.1976	0.8452	0.8095	0.8269
15070402	20.9803	3	13	193.0197	227	217	0.1629	0.8895	0.8503	0.8695
15238161	17.0000	8	12	50.0000	79	75	0.4684	0.6667	0.6329	0.6494
15328538	6.7333	4	15	176.2667	198	187	0.1300	0.9426	0.8902	0.9157
15560850	19.5833	3	21	86.4167	127	109	0.3432	0.7928	0.6804	0.7323
15615595	55.3333	5	53	77.6667	186	138	0.6093	0.5628	0.4176	0.4794
15619330	31.0000	10	13	133.0000	177	174	0.3051	0.7644	0.7514	0.7578
15784609	54.6339	1	51	248.3661	354	304	0.3012	0.8170	0.7016	0.7549
15850489	23.9362	6	50	237.0638	311	267	0.2570	0.8879	0.7623	0.8203
15882093	83.7716	4	19	266.2284	369	354	0.2894	0.7521	0.7215	0.7365
16026622	17.1768	4	12	203.8232	233	225	0.1424	0.9059	0.8748	0.8901
16027110	46.8595	3	23	380.1405	450	430	0.1619	0.8840	0.8448	0.8640
16410827	74.9158	37	21	251.0842	347	363	0.3830	0.6917	0.7236	0.7073
16517939	42.5717	7	35	365.4283	443	415	0.1909	0.8806	0.8249	0.8518
16611361	63.8613	1	53	233.1387	350	298	0.3367	0.7823	0.6661	0.7196
16787536	51.2614	3	14	310.7386	376	365	0.1815	0.8513	0.8264	0.8387
16800892	52.9991	13	145	647.0009	845	713	0.2497	0.9074	0.7657	0.8306
16968134	89.7439	5	92	235.2561	417	330	0.4478	0.7129	0.5642	0.6299
17029558	90.2242	4	43	223.7758	357	318	0.3844	0.7037	0.6268	0.6630
17201918	26.5428	7	38	129.4572	194	163	0.3688	0.7942	0.6673	0.7253
17206865	52.9979	5	3	324.0021	380	382	0.1605	0.8482	0.8526	0.8504
17465682	15.6667	2	21	137.3333	174	155	0.2222	0.8860	0.7893	0.8349
17503968	6.0000	25	4	16.0000	26	47	1.3462	0.3404	0.6154	0.4384
17565376	1.4737	3	9	120.5263	131	125	0.1029	0.9642	0.9200	0.9416
17677002	74.8778	6	27	394.1222	496	475	0.2175	0.8297	0.7946	0.8118
TOTAL	1404.0389	207	1029	6702.9611	9136	8314	0.2890	0.8062	0.7337	0.7682
