#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.9093	6	3	11.0907	15	18	0.6606	0.6161	0.7394	0.6722
11604102	0.8268	8	4	20.1732	25	29	0.5131	0.6956	0.8069	0.7472
14624252	1.9170	19	6	24.0830	32	45	0.8412	0.5352	0.7526	0.6255
14675480	3.7052	6	5	28.2948	37	38	0.3974	0.7446	0.7647	0.7545
14691534	4.2187	26	16	41.7813	62	72	0.7455	0.5803	0.6739	0.6236
15018652	0.0000	7	3	10.0000	13	17	0.7692	0.5882	0.7692	0.6667
15070402	1.8687	20	22	32.1313	56	54	0.7834	0.5950	0.5738	0.5842
15238161	1.0000	37	4	18.0000	23	56	1.8261	0.3214	0.7826	0.4557
15328538	10.1160	23	36	76.8840	123	110	0.5619	0.6989	0.6251	0.6599
15560850	1.5659	3	5	15.4341	22	20	0.4348	0.7717	0.7015	0.7350
15615595	1.0122	6	2	20.9878	24	28	0.3755	0.7496	0.8745	0.8072
15619330	0.0000	9	11	24.0000	35	33	0.5714	0.7273	0.6857	0.7059
15784609	0.9352	26	12	72.0648	85	99	0.4581	0.7279	0.8478	0.7833
15850489	9.9692	20	121	80.0308	211	110	0.7155	0.7276	0.3793	0.4986
15882093	4.7061	20	5	67.2939	77	92	0.3858	0.7315	0.8739	0.7964
16026622	7.9295	18	59	17.0705	84	43	1.0111	0.3970	0.2032	0.2688
16027110	1.0000	15	11	25.0000	37	41	0.7297	0.6098	0.6757	0.6410
16410827	1.0000	26	2	20.0000	23	47	1.2609	0.4255	0.8696	0.5714
16517939	0.2196	46	11	24.7804	36	71	1.5894	0.3490	0.6883	0.4632
16611361	0.0000	0	1	8.0000	9	8	0.1111	1.0000	0.8889	0.9412
16787536	9.4149	20	11	33.5851	54	63	0.7484	0.5331	0.6219	0.5741
16800892	1.6882	21	15	55.3118	72	78	0.5234	0.7091	0.7682	0.7375
16968134	0.3333	35	1	51.6667	53	87	0.6855	0.5939	0.9748	0.7381
17029558	2.4698	56	10	28.5302	41	87	1.6700	0.3279	0.6959	0.4458
17201918	6.8261	41	18	95.1739	120	143	0.5486	0.6656	0.7931	0.7238
17206865	5.0048	20	4	26.9952	36	52	0.8057	0.5191	0.7499	0.6135
17465682	18.3381	45	63	143.6619	225	207	0.5615	0.6940	0.6385	0.6651
17503968	45.7482	49	123	307.2518	476	402	0.4575	0.7643	0.6455	0.6999
17565376	8.3526	63	6	22.6474	37	94	2.0906	0.2409	0.6121	0.3458
17677002	1.1404	16	20	35.8596	57	53	0.6516	0.6766	0.6291	0.6520
TOTAL	152.2159	707	610	1437.7841	2200	2297	0.6678	0.6259	0.6535	0.6394
