#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	2.7141	29	4	31.2859	38	63	0.9398	0.4966	0.8233	0.6195
11604102	10.2358	20	5	54.7642	70	85	0.5034	0.6443	0.7823	0.7066
14624252	17.1787	74	40	51.8213	109	143	1.2035	0.3624	0.4754	0.4113
14675480	24.9554	55	50	101.0446	176	181	0.7384	0.5583	0.5741	0.5661
14691534	13.5357	129	12	56.4643	82	199	1.8846	0.2837	0.6886	0.4019
15018652	9.2332	22	9	39.7668	58	71	0.6937	0.5601	0.6856	0.6165
15070402	26.4891	81	16	123.5109	166	231	0.7439	0.5347	0.7440	0.6222
15238161	43.6451	135	14	107.3549	165	286	1.1675	0.3754	0.6506	0.4761
15328538	15.1354	46	20	61.8646	97	123	0.8364	0.5030	0.6378	0.5624
15560850	9.2105	35	2	45.7895	57	90	0.8107	0.5088	0.8033	0.6230
15615595	7.5906	33	9	31.4094	48	72	1.0331	0.4362	0.6544	0.5235
15619330	20.0101	53	18	81.9899	120	155	0.7584	0.5290	0.6832	0.5963
15784609	12.0481	40	10	67.9519	90	120	0.6894	0.5663	0.7550	0.6472
15850489	9.3034	58	4	47.6966	61	115	1.1689	0.4148	0.7819	0.5420
15882093	53.1472	161	24	191.8528	269	406	0.8853	0.4725	0.7132	0.5685
16026622	17.9332	70	28	26.0668	72	114	1.6102	0.2287	0.3620	0.2803
16027110	18.5053	75	18	65.4947	102	159	1.0932	0.4119	0.6421	0.5019
16410827	45.8158	146	37	123.1842	206	315	1.1108	0.3911	0.5980	0.4729
16517939	15.0804	103	7	59.9196	82	178	1.5254	0.3366	0.7307	0.4609
16611361	2.9667	9	7	33.0333	43	45	0.4411	0.7341	0.7682	0.7508
16787536	15.8132	80	12	56.1868	84	152	1.2835	0.3697	0.6689	0.4762
16800892	13.8683	78	17	153.1317	184	245	0.5917	0.6250	0.8322	0.7139
16968134	32.3187	117	10	146.6813	189	296	0.8430	0.4955	0.7761	0.6049
17029558	21.7782	156	8	50.2218	80	228	2.3222	0.2203	0.6278	0.3261
17201918	88.8851	177	66	151.1149	306	417	1.0846	0.3624	0.4938	0.4180
17206865	23.2949	99	41	115.7051	180	238	0.9072	0.4862	0.6428	0.5536
17465682	12.7923	118	30	109.2077	152	240	1.0578	0.4550	0.7185	0.5572
17503968	24.2690	162	125	66.7310	216	253	1.4411	0.2638	0.3089	0.2846
17565376	16.7905	117	17	48.2095	82	182	1.8389	0.2649	0.5879	0.3652
17677002	10.1846	64	16	70.8154	97	145	0.9297	0.4884	0.7301	0.5853
TOTAL	634.7286	2542	676	2370.2714	3681	5547	1.0467	0.4273	0.6439	0.5137
