#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.0000	1	1	0.0000	1	1	2.0000	0.0000	0.0000	0.0000
17029558	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
14691534	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
17503968	0.0000	1	0	0.0000	0	1	1.0000	0.0000	0.0000	0.0000
11604102	0.0000	0	0	2.0000	2	2	0.0000	1.0000	1.0000	1.0000
14675480	0.0000	0	0	7.0000	7	7	0.0000	1.0000	1.0000	1.0000
17465682	0.0000	0	2	11.0000	13	11	0.1538	1.0000	0.8462	0.9167
15328538	0.0000	0	1	13.0000	14	13	0.0714	1.0000	0.9286	0.9630
16027110	0.0000	0	1	1.0000	2	1	0.5000	1.0000	0.5000	0.6667
16968134	0.0000	0	0	2.0000	2	2	0.0000	1.0000	1.0000	1.0000
14624252	0.0000	1	0	0.0000	0	1	1.0000	0.0000	0.0000	0.0000
17206865	0.0000	1	2	15.0000	17	16	0.1765	0.9375	0.8824	0.9091
15018652	0.0000	7	0	0.0000	0	7	1.0000	0.0000	0.0000	0.0000
16611361	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
16800892	0.0000	2	0	1.0000	1	3	2.0000	0.3333	1.0000	0.5000
15238161	1.4010	1	0	0.5990	2	3	1.2005	0.1997	0.2995	0.2396
17201918	0.0000	1	2	1.0000	3	2	1.0000	0.5000	0.3333	0.4000
15070402	0.4737	0	14	9.5263	24	10	0.6031	0.9526	0.3969	0.5604
17565376	0.0000	0	2	4.0000	6	4	0.3333	1.0000	0.6667	0.8000
17677002	0.0000	0	0	2.0000	2	2	0.0000	1.0000	1.0000	1.0000
15560850	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
16787536	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
TOTAL	1.8747	15	25	74.1253	101	91	0.4146	0.8146	0.7339	0.7721
