#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	1.9888	4	10	4.0112	16	10	0.9993	0.4011	0.2507	0.3086
11604102	18.5942	15	145	20.4058	184	54	0.9706	0.3779	0.1109	0.1715
14624252	15.8719	46	52	28.1281	96	90	1.1862	0.3125	0.2930	0.3025
14675480	27.9162	11	271	38.0838	337	77	0.9196	0.4946	0.1130	0.1840
14691534	55.7494	52	347	66.2506	469	174	0.9696	0.3808	0.1413	0.2061
15018652	7.1920	1	102	12.8080	122	21	0.9032	0.6099	0.1050	0.1791
15070402	26.3664	38	263	52.6336	342	117	0.9572	0.4499	0.1539	0.2293
15238161	7.4761	51	65	184.5239	257	243	0.4805	0.7594	0.7180	0.7381
15328538	48.7039	30	34	83.2961	166	162	0.6789	0.5142	0.5018	0.5079
15560850	65.1719	14	47	85.8281	198	165	0.6372	0.5202	0.4335	0.4729
15615595	5.4834	32	17	82.5166	105	120	0.5189	0.6876	0.7859	0.7335
15619330	6.0922	11	49	21.9078	77	39	0.8583	0.5617	0.2845	0.3777
15784609	19.3103	33	38	15.6897	73	68	1.2371	0.2307	0.2149	0.2225
15850489	20.2484	32	106	21.7516	148	74	1.0692	0.2939	0.1470	0.1960
15882093	54.6648	48	336	108.3352	499	211	0.8791	0.5134	0.2171	0.3052
16026622	19.8633	89	38	18.1367	76	127	1.9324	0.1428	0.2386	0.1787
16027110	28.4045	88	142	36.5955	207	153	1.2483	0.2392	0.1768	0.2033
16410827	57.5711	23	232	88.4289	378	169	0.8269	0.5232	0.2339	0.3233
16517939	50.6408	33	96	37.3592	184	121	0.9763	0.3088	0.2030	0.2450
16611361	18.1808	14	120	18.8192	157	51	0.9693	0.3690	0.1199	0.1810
16787536	31.8164	22	137	43.1836	212	97	0.9001	0.4452	0.2037	0.2795
16800892	6.7803	108	34	20.2197	61	135	2.4390	0.1498	0.3315	0.2063
16968134	185.3241	37	282	131.6759	599	354	0.8419	0.3720	0.2198	0.2763
17029558	20.0399	110	70	23.9601	114	154	1.7547	0.1556	0.2102	0.1788
17201918	57.4468	151	250	79.5532	387	288	1.1846	0.2762	0.2056	0.2357
17206865	26.1438	25	154	51.8562	232	103	0.8842	0.5035	0.2235	0.3096
17465682	15.7879	81	61	112.2121	189	209	0.8349	0.5369	0.5937	0.5639
17503968	3.0619	47	5	47.9381	56	98	0.9832	0.4892	0.8560	0.6226
17565376	70.3913	52	158	57.6087	286	180	0.9804	0.3200	0.2014	0.2472
17677002	21.2222	46	128	32.7778	182	100	1.0726	0.3278	0.1801	0.2325
TOTAL	993.5046	1344	3789	1626.4954	6409	3964	0.9559	0.4103	0.2538	0.3136
