#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	13.2119	26	25	187.7881	226	227	0.2841	0.8273	0.8309	0.8291
11604102	1.0000	14	0	58.0000	59	73	0.2542	0.7945	0.9831	0.8788
14624252	22.4883	45	11	184.5117	218	252	0.3600	0.7322	0.8464	0.7852
14675480	56.6658	75	47	455.3342	559	587	0.3196	0.7757	0.8146	0.7946
14691534	23.9229	54	38	144.0771	206	222	0.5627	0.6490	0.6994	0.6733
15018652	4.8260	12	12	57.1740	74	74	0.3895	0.7726	0.7726	0.7726
15070402	33.1489	31	29	91.8511	154	156	0.6049	0.5888	0.5964	0.5926
15238161	35.1839	86	42	260.8161	338	382	0.4828	0.6828	0.7716	0.7245
15328538	12.8974	25	6	85.1026	104	123	0.4221	0.6919	0.8183	0.7498
15560850	0.0000	2	0	45.0000	45	47	0.0444	0.9574	1.0000	0.9783
15615595	69.3310	34	88	448.6690	606	552	0.3157	0.8128	0.7404	0.7749
15619330	14.3195	22	11	153.6805	179	190	0.2644	0.8088	0.8586	0.8330
15784609	23.6584	9	16	162.3416	202	195	0.2409	0.8325	0.8037	0.8178
15850489	6.7237	19	3	58.2763	68	84	0.4224	0.6938	0.8570	0.7668
15882093	65.8679	42	243	181.1321	490	289	0.7161	0.6268	0.3697	0.4650
16026622	0.9765	25	1	50.0235	52	76	0.5188	0.6582	0.9620	0.7816
16027110	6.6625	26	0	38.3375	45	71	0.7258	0.5400	0.8519	0.6610
16410827	87.5552	138	24	286.4448	398	512	0.6270	0.5595	0.7197	0.6295
16517939	5.2545	23	10	51.7455	67	80	0.5710	0.6468	0.7723	0.7040
16611361	4.6250	15	1	63.3750	69	83	0.2989	0.7636	0.9185	0.8339
16787536	57.6014	52	75	268.3986	401	378	0.4604	0.7100	0.6693	0.6891
16800892	11.0560	30	14	111.9440	137	153	0.4019	0.7317	0.8171	0.7720
16968134	88.0313	32	36	195.9687	320	316	0.4876	0.6202	0.6124	0.6163
17029558	63.4173	70	60	124.5827	248	258	0.7799	0.4829	0.5023	0.4924
17201918	56.8301	59	110	153.1699	320	269	0.7057	0.5694	0.4787	0.5201
17206865	18.7696	37	16	134.2304	169	190	0.4247	0.7065	0.7943	0.7478
17465682	34.0561	67	62	195.9439	292	297	0.5584	0.6597	0.6710	0.6653
17503968	5.8929	28	72	18.1071	96	52	1.1031	0.3482	0.1886	0.2447
17565376	40.5172	39	166	76.4828	283	156	0.8676	0.4903	0.2703	0.3484
17677002	12.2617	34	15	98.7383	126	145	0.4862	0.6810	0.7836	0.7287
TOTAL	876.7529	1171	1233	4441.2471	6551	6489	0.5008	0.6844	0.6779	0.6812
