#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	28.0648	22	1	74.9352	104	125	0.4910	0.5995	0.7205	0.6545
11604102	0.8744	10	0	23.1256	24	34	0.4531	0.6802	0.9636	0.7974
14624252	7.6087	37	204	29.3913	241	74	1.0316	0.3972	0.1220	0.1866
14675480	1.5533	16	3	22.4467	27	40	0.7612	0.5612	0.8314	0.6701
14691534	2.5295	100	2	21.4705	26	124	4.0204	0.1731	0.8258	0.2863
15018652	2.2362	16	1	50.7638	54	69	0.3562	0.7357	0.9401	0.8254
15070402	0.8155	37	0	1.1845	2	39	18.9077	0.0304	0.5923	0.0578
15238161	19.3411	141	99	38.6589	157	199	1.6519	0.1943	0.2462	0.2172
15328538	1.9141	47	1	6.0859	9	55	5.5460	0.1107	0.6762	0.1902
15560850	0.0000	18	1	4.0000	5	22	3.8000	0.1818	0.8000	0.2963
15615595	0.0000	53	0	5.0000	5	58	10.6000	0.0862	1.0000	0.1587
15619330	1.2145	46	12	31.7855	45	79	1.3159	0.4023	0.7063	0.5127
15784609	1.9176	26	14	30.0824	46	58	0.9113	0.5187	0.6540	0.5785
15850489	0.0000	24	0	9.0000	9	33	2.6667	0.2727	1.0000	0.4286
15882093	50.8884	128	2	125.1116	178	304	1.0162	0.4116	0.7029	0.5191
16026622	4.2516	31	19	28.7484	52	64	1.0433	0.4492	0.5529	0.4957
16027110	0.9085	45	4	0.0915	5	46	9.9817	0.0020	0.0183	0.0036
16410827	13.4386	90	16	118.5614	148	222	0.8070	0.5341	0.8011	0.6409
16517939	3.3934	58	2	12.6066	18	74	3.5219	0.1704	0.7004	0.2741
16611361	3.4066	11	0	16.5934	20	31	0.7203	0.5353	0.8297	0.6507
16787536	2.6755	26	4	12.3245	19	41	1.7198	0.3006	0.6487	0.4108
16800892	0.0000	43	3	9.0000	12	52	3.8333	0.1731	0.7500	0.2813
16968134	1.8965	89	7	30.1035	39	121	2.5102	0.2488	0.7719	0.3763
17029558	17.5862	132	25	37.4138	80	187	2.1823	0.2001	0.4677	0.2803
17201918	13.7273	90	8	37.2727	59	141	1.8937	0.2643	0.6317	0.3727
17206865	13.4163	86	8	33.5837	55	133	1.9530	0.2525	0.6106	0.3573
17465682	3.1885	58	43	17.8115	64	79	1.6279	0.2255	0.2783	0.2491
17503968	14.9585	86	128	6.0415	149	107	1.5366	0.0565	0.0405	0.0472
17565376	5.0245	99	47	31.9755	84	136	1.7979	0.2351	0.3807	0.2907
17677002	0.0000	30	3	10.0000	13	40	2.5385	0.2500	0.7692	0.3774
TOTAL	216.8301	1695	657	875.1699	1749	2787	1.4687	0.3140	0.5004	0.3859
