#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.0000	61	1	7.0000	8	68	7.7500	0.1029	0.8750	0.1842
17029558	3.6107	188	5	9.3893	18	201	10.9228	0.0467	0.5216	0.0857
14691534	5.6172	149	0	25.3828	31	180	4.9877	0.1410	0.8188	0.2406
17503968	24.8011	125	66	17.1989	108	167	1.9982	0.1030	0.1592	0.1251
11604102	1.6342	36	11	30.3658	43	68	1.1310	0.4466	0.7062	0.5471
14675480	0.0000	33	0	15.0000	15	48	2.2000	0.3125	1.0000	0.4762
16517939	0.0000	96	0	1.0000	1	97	96.0000	0.0103	1.0000	0.0204
15615595	0.0000	68	0	1.0000	1	69	68.0000	0.0145	1.0000	0.0286
17465682	0.6086	110	0	10.3914	11	121	10.0553	0.0859	0.9447	0.1574
15328538	0.0000	35	0	12.0000	12	47	2.9167	0.2553	1.0000	0.4068
16027110	12.2955	117	1	87.7045	101	217	1.2901	0.4042	0.8684	0.5516
16968134	13.8764	127	8	51.1236	73	192	2.0394	0.2663	0.7003	0.3858
14624252	3.3032	71	10	25.6968	39	100	2.1616	0.2570	0.6589	0.3697
17206865	36.4268	134	59	101.5732	197	272	1.1646	0.3734	0.5156	0.4331
15018652	0.0000	23	0	0.0000	0	23	1.0000	0.0000	0.0000	0.0000
16611361	0.0000	16	0	3.0000	3	19	5.3333	0.1579	1.0000	0.2727
15784609	0.0000	61	0	3.0000	3	64	20.3333	0.0469	1.0000	0.0896
16800892	0.0000	117	5	9.0000	14	126	8.7143	0.0714	0.6429	0.1286
16410827	0.0000	92	1	6.0000	7	98	13.2857	0.0612	0.8571	0.1143
15238161	1.0000	141	3	54.0000	58	196	2.5000	0.2755	0.9310	0.4252
17201918	19.4431	236	0	18.5569	38	274	6.7222	0.0677	0.4883	0.1190
15070402	26.9656	112	44	101.0344	172	240	1.0638	0.4210	0.5874	0.4905
15850489	0.8685	53	1	11.1315	13	65	4.2207	0.1713	0.8563	0.2854
17565376	6.8283	135	10	17.1717	34	159	4.4655	0.1080	0.5050	0.1779
16026622	5.8863	52	0	3.1137	9	61	6.4318	0.0510	0.3460	0.0890
17677002	0.0000	86	1	16.0000	17	102	5.1176	0.1569	0.9412	0.2689
15560850	1.8326	53	0	12.1674	14	67	3.9166	0.1816	0.8691	0.3004
15619330	6.3136	116	1	39.6864	47	162	2.6237	0.2450	0.8444	0.3798
15882093	0.0000	145	1	44.0000	45	189	3.2444	0.2328	0.9778	0.3761
16787536	13.0330	73	12	26.9670	52	113	1.8853	0.2386	0.5186	0.3269
TOTAL	184.3446	2861	240	759.6554	1184	3805	2.7748	0.1996	0.6416	0.3045
