#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11604102	0.0000	0	0	2.0000	2	2	0.0000	1.0000	1.0000	1.0000
14675480	0.0000	0	0	7.0000	7	7	0.0000	1.0000	1.0000	1.0000
14691534	0.0000	3	0	1.0000	1	4	3.0000	0.2500	1.0000	0.4000
15018652	0.0000	7	0	0.0000	0	7	1.0000	0.0000	0.0000	0.0000
15070402	0.4737	1	12	11.5263	24	13	0.5614	0.8866	0.4803	0.6230
15238161	1.2941	2	0	0.7059	2	4	1.6471	0.1765	0.3529	0.2353
15328538	0.0000	0	1	13.0000	14	13	0.0714	1.0000	0.9286	0.9630
15560850	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
15784609	0.0000	3	0	0.0000	0	3	1.0000	0.0000	0.0000	0.0000
15882093	0.0000	2	0	0.0000	0	2	1.0000	0.0000	0.0000	0.0000
16027110	0.0000	0	1	1.0000	2	1	0.5000	1.0000	0.5000	0.6667
16410827	0.0000	2	0	0.0000	0	2	1.0000	0.0000	0.0000	0.0000
16611361	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
16787536	0.0000	0	0	1.0000	1	1	0.0000	1.0000	1.0000	1.0000
16800892	0.0000	2	0	1.0000	1	3	2.0000	0.3333	1.0000	0.5000
16968134	0.0000	2	0	2.0000	2	4	1.0000	0.5000	1.0000	0.6667
17029558	0.0000	3	0	1.0000	1	4	3.0000	0.2500	1.0000	0.4000
17201918	0.0000	1	2	1.0000	3	2	1.0000	0.5000	0.3333	0.4000
17206865	0.0000	2	2	15.0000	17	17	0.2353	0.8824	0.8824	0.8824
17465682	0.0000	0	2	11.0000	13	11	0.1538	1.0000	0.8462	0.9167
17503968	0.0000	1	0	0.0000	0	1	1.0000	0.0000	0.0000	0.0000
17565376	0.0000	4	2	4.0000	6	8	1.0000	0.5000	0.6667	0.5714
17677002	0.0000	0	0	2.0000	2	2	0.0000	1.0000	1.0000	1.0000
TOTAL	1.7678	35	22	76.2322	100	113	0.5877	0.6746	0.7623	0.7158
