#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.0000	79	72	5.0000	77	84	1.9610	0.0595	0.0649	0.0621
11604102	1.9483	98	108	11.0517	121	111	1.7186	0.0996	0.0913	0.0953
14624252	0.0000	31	106	4.0000	110	35	1.2455	0.1143	0.0364	0.0552
14675480	4.2041	94	60	5.7959	70	104	2.2601	0.0557	0.0828	0.0666
14691534	0.9523	70	131	6.0477	138	77	1.4634	0.0785	0.0438	0.0563
15018652	1.8226	12	69	3.1774	74	17	1.1192	0.1869	0.0429	0.0698
15070402	0.0000	63	94	6.0000	100	69	1.5700	0.0870	0.0600	0.0710
15238161	0.0000	8	17	1.0000	18	9	1.3889	0.1111	0.0556	0.0741
15328538	0.0000	57	50	5.0000	55	62	1.9455	0.0806	0.0909	0.0855
15615595	0.0000	16	28	1.0000	29	17	1.5172	0.0588	0.0345	0.0435
15619330	0.0000	41	27	4.0000	31	45	2.1935	0.0889	0.1290	0.1053
15784609	0.0000	115	137	13.0000	150	128	1.6800	0.1016	0.0867	0.0935
15850489	3.4060	75	137	8.5940	149	87	1.4457	0.0988	0.0577	0.0728
15882093	1.9440	162	107	10.0560	119	174	2.2768	0.0578	0.0845	0.0686
16026622	0.0000	92	142	16.0000	158	108	1.4810	0.1481	0.1013	0.1203
16027110	4.8442	132	138	11.1558	154	148	1.7847	0.0754	0.0724	0.0739
16410827	1.0632	108	166	9.9368	177	119	1.5540	0.0835	0.0561	0.0671
16517939	1.4920	208	247	19.5080	268	229	1.7033	0.0852	0.0728	0.0785
16611361	16.1733	122	164	16.8267	197	155	1.5339	0.1086	0.0854	0.0956
16787536	0.8758	46	140	3.1242	144	50	1.2977	0.0625	0.0217	0.0322
16800892	2.6473	215	426	30.3527	459	248	1.4023	0.1224	0.0661	0.0859
16968134	0.0000	53	60	5.0000	65	58	1.7385	0.0862	0.0769	0.0813
17029558	0.0000	38	65	3.0000	68	41	1.5147	0.0732	0.0441	0.0550
17201918	0.7692	44	34	4.2308	39	49	2.0197	0.0863	0.1085	0.0962
17206865	0.0000	110	143	13.0000	156	123	1.6218	0.1057	0.0833	0.0932
17465682	0.0000	62	55	6.0000	61	68	1.9180	0.0882	0.0984	0.0930
17565376	0.0000	16	35	4.0000	39	20	1.3077	0.2000	0.1026	0.1356
17677002	3.8168	121	158	17.1832	179	142	1.5800	0.1210	0.0960	0.1071
TOTAL	45.9591	2288	3116	243.0409	3405	2577	1.6006	0.0943	0.0714	0.0813
