Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	empty annotation count
CHEBI	2200	1.0000	0.5545	0.7135	0.9999	0.5779	0.7325	896
CL	1749	1.0000	0.5232	0.6869	1.0000	0.7713	0.8709	206
GO_BP	3681	1.0000	0.2893	0.4488	1.0000	0.3596	0.5290	2159
GO_CC	1184	1.0000	0.5355	0.6975	1.0000	0.5491	0.7089	525
GO_MF	94	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	94
MOP	101	1.0000	0.6535	0.7904	1.0000	0.6607	0.7957	34
NCBITaxon	3101	1.0000	0.8594	0.9244	0.9994	0.8709	0.9308	408
PR	6409	1.0000	0.4656	0.6354	0.9999	0.5673	0.7239	1677
SO	3446	1.0000	0.7542	0.8599	1.0000	0.7786	0.8755	736
UBERON	6551	1.0000	0.6358	0.7773	1.0000	0.6540	0.7908	2224
