Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)
CHEBI_EXT	4772	1.0000	0.9168	0.9566	0.9965	0.8538	0.9208
CL_EXT	2097	1.0000	0.9862	0.9930	0.9999	0.9737	0.9867
GO_BP_EXT	4986	1.0000	0.8909	0.9423	0.9937	0.7783	0.8750
GO_CC_EXT	2878	1.0000	0.9917	0.9958	0.9982	0.9789	0.9893
GO_MF_EXT	1307	1.0000	0.8332	0.9090	0.9270	0.7819	0.8692
MOP_EXT	90	1.0000	0.9778	0.9888	1.0000	0.9982	0.9991
NCBITaxon_EXT	3096	1.0000	0.8634	0.9267	0.9864	0.9430	0.9656
PR_EXT	4818	1.0000	0.2536	0.4046	0.9172	0.7509	0.8131
SO_EXT	8818	1.0000	0.9354	0.9666	0.9948	0.9202	0.9575
UBERON_EXT	5807	1.0000	0.9640	0.9817	0.9987	0.9462	0.9717
